week_date,region,platform,segment,customer_type,transactions,sales,week_number,month_number,calendar_year,age_band,demographic,avg_transaction
2018-03-26,OCEANIA,Retail,F1,New,39795,1424560,13,3,2018,Young Adults,Families,35.80
2018-03-26,ASIA,Retail,C4,Existing,81493,3890763,13,3,2018,Retirees,Couples,47.74
2018-03-26,EUROPE,Retail,C3,Existing,11478,661150,13,3,2018,Retirees,Couples,57.60
2020-08-31,ASIA,Shopify,C2,New,413,55780,36,8,2020,Middle Aged,Couples,135.06
2020-08-24,USA,Shopify,C3,New,160,26524,35,8,2020,Retirees,Couples,165.78
2020-06-29,ASIA,Shopify,C2,New,370,49839,27,6,2020,Middle Aged,Couples,134.70
2020-06-15,ASIA,Shopify,F3,New,108,14229,25,6,2020,Retirees,Families,131.75
2020-05-25,ASIA,Retail,C4,New,51064,1457714,22,5,2020,Retirees,Couples,28.55
2020-05-18,ASIA,Shopify,C2,New,498,55710,21,5,2020,Middle Aged,Couples,111.87
2020-04-20,USA,Shopify,C3,New,185,28819,17,4,2020,Retirees,Couples,155.78
2020-04-20,USA,Retail,unknown,New,19751,866940,17,4,2020,unknown,unknown,43.89
2020-03-30,ASIA,Shopify,F3,New,82,11392,14,3,2020,Retirees,Families,138.93
2019-09-02,ASIA,Shopify,F3,New,106,13131,36,9,2019,Retirees,Families,123.88
2019-07-15,USA,Retail,F3,New,25039,989179,29,7,2019,Retirees,Families,39.51
2019-07-01,CANADA,Shopify,unknown,New,92,15627,27,7,2019,unknown,unknown,169.86
2019-04-15,USA,Retail,unknown,New,19665,901863,16,4,2019,unknown,unknown,45.86
2019-04-08,ASIA,Retail,unknown,New,67322,2642965,15,4,2019,unknown,unknown,39.26
2018-08-27,ASIA,Retail,F3,New,87485,2795987,35,8,2018,Retirees,Families,31.96
2018-08-20,CANADA,Retail,F1,New,7127,266153,34,8,2018,Young Adults,Families,37.34
2018-08-20,SOUTH AMERICA,Shopify,F1,Existing,28,6394,34,8,2018,Young Adults,Families,228.36
2018-08-20,EUROPE,Shopify,C3,New,6,1457,34,8,2018,Retirees,Couples,242.83
2018-08-20,CANADA,Retail,C3,New,25480,911725,34,8,2018,Retirees,Couples,35.78
2018-08-20,USA,Shopify,F2,Existing,1522,327159,34,8,2018,Middle Aged,Families,214.95
2018-08-20,ASIA,Shopify,C3,Existing,1123,220342,34,8,2018,Retirees,Couples,196.21
2018-08-20,OCEANIA,Shopify,C1,Existing,1708,314310,34,8,2018,Young Adults,Couples,184.02
2018-08-20,USA,Retail,F3,Existing,117329,7679757,34,8,2018,Retirees,Families,65.45
2018-08-20,CANADA,Retail,C2,New,12736,402798,34,8,2018,Middle Aged,Couples,31.63
2018-08-20,ASIA,Retail,unknown,Guest,1974765,48611874,34,8,2018,unknown,unknown,24.62
2018-08-20,SOUTH AMERICA,Retail,F1,New,220,7722,34,8,2018,Young Adults,Families,35.10
2018-08-20,USA,Shopify,F3,New,52,8891,34,8,2018,Retirees,Families,170.98
2018-08-20,EUROPE,Shopify,F2,Existing,179,47635,34,8,2018,Middle Aged,Families,266.12
2018-08-20,ASIA,Retail,C1,Existing,145381,5066294,34,8,2018,Young Adults,Couples,34.85
2018-08-20,SOUTH AMERICA,Shopify,unknown,Guest,965,191342,34,8,2018,unknown,unknown,198.28
2018-08-20,USA,Retail,C2,Existing,32328,1697948,34,8,2018,Middle Aged,Couples,52.52
2018-08-20,USA,Shopify,C4,New,20,4190,34,8,2018,Retirees,Couples,209.50
2018-08-20,CANADA,Retail,F3,Existing,77490,4617751,34,8,2018,Retirees,Families,59.59
2018-08-20,EUROPE,Shopify,C1,Existing,91,18771,34,8,2018,Young Adults,Couples,206.27
2018-08-20,SOUTH AMERICA,Shopify,C3,New,13,2702,34,8,2018,Retirees,Couples,207.85
2018-08-20,ASIA,Shopify,unknown,Guest,2520,413589,34,8,2018,unknown,unknown,164.12
2018-08-20,OCEANIA,Retail,C4,Existing,115145,5972965,34,8,2018,Retirees,Couples,51.87
2018-08-20,AFRICA,Shopify,F3,New,69,11143,34,8,2018,Retirees,Families,161.49
2018-08-20,CANADA,Shopify,F2,New,67,10662,34,8,2018,Middle Aged,Families,159.13
2018-04-30,USA,Shopify,F2,New,124,22199,18,4,2018,Middle Aged,Families,179.02
2020-08-31,ASIA,Retail,C3,New,120631,3656163,36,8,2020,Retirees,Couples,30.31
2020-08-31,ASIA,Retail,F1,New,31574,996575,36,8,2020,Young Adults,Families,31.56
2020-08-31,USA,Retail,unknown,Guest,529151,16509610,36,8,2020,unknown,unknown,31.20
2018-08-13,ASIA,Retail,C2,New,70860,1946180,33,8,2018,Middle Aged,Couples,27.47
2018-06-11,ASIA,Retail,C2,New,71391,1982463,24,6,2018,Middle Aged,Couples,27.77
2019-06-24,EUROPE,Shopify,C4,New,1,79,26,6,2019,Retirees,Couples,79.00
2018-03-26,ASIA,Retail,C4,New,47300,1431441,13,3,2018,Retirees,Couples,30.26
2018-03-26,USA,Retail,unknown,New,22187,997407,13,3,2018,unknown,unknown,44.95
2019-07-01,SOUTH AMERICA,Shopify,C4,New,1,317,27,7,2019,Retirees,Couples,317.00
2019-07-01,ASIA,Retail,unknown,Guest,1923325,47862173,27,7,2019,unknown,unknown,24.89
2019-07-01,CANADA,Retail,F2,Existing,55456,3042852,27,7,2019,Middle Aged,Families,54.87
2019-07-01,EUROPE,Retail,F3,New,1936,82337,27,7,2019,Retirees,Families,42.53
2019-07-01,ASIA,Shopify,C2,Existing,1431,254186,27,7,2019,Middle Aged,Couples,177.63
2019-07-01,SOUTH AMERICA,Retail,C3,New,971,38054,27,7,2019,Retirees,Couples,39.19
2019-07-01,EUROPE,Retail,F3,Existing,17137,1053148,27,7,2019,Retirees,Families,61.45
2019-07-01,USA,Shopify,unknown,New,156,26716,27,7,2019,unknown,unknown,171.26
2019-07-01,USA,Shopify,C2,New,203,31557,27,7,2019,Middle Aged,Couples,155.45
2019-07-01,USA,Retail,F1,Existing,37842,2217254,27,7,2019,Young Adults,Families,58.59
2019-07-01,OCEANIA,Shopify,C4,New,77,11597,27,7,2019,Retirees,Couples,150.61
2019-07-01,SOUTH AMERICA,Retail,C1,New,2426,56435,27,7,2019,Young Adults,Couples,23.26
2019-07-01,ASIA,Retail,C4,New,46761,1380581,27,7,2019,Retirees,Couples,29.52
2019-07-01,CANADA,Retail,C1,New,28322,749024,27,7,2019,Young Adults,Couples,26.45
2019-07-01,USA,Shopify,C1,Existing,685,121208,27,7,2019,Young Adults,Couples,176.95
2018-03-26,AFRICA,Retail,C3,Existing,218516,12083475,13,3,2018,Retirees,Couples,55.30
2020-08-31,EUROPE,Shopify,C2,Existing,180,53567,36,8,2020,Middle Aged,Couples,297.59
2020-08-31,EUROPE,Shopify,F2,New,15,4023,36,8,2020,Middle Aged,Families,268.20
2020-08-31,AFRICA,Retail,C2,Existing,112361,4768214,36,8,2020,Middle Aged,Couples,42.44
2019-07-08,ASIA,Shopify,F2,Existing,2088,403860,28,7,2019,Middle Aged,Families,193.42
2019-06-10,CANADA,Retail,unknown,New,17779,707150,24,6,2019,unknown,unknown,39.77
2018-07-30,ASIA,Shopify,C2,New,244,36080,31,7,2018,Middle Aged,Couples,147.87
2018-03-26,CANADA,Retail,F1,New,7316,281080,13,3,2018,Young Adults,Families,38.42
2018-03-26,SOUTH AMERICA,Retail,unknown,New,2138,66505,13,3,2018,unknown,unknown,31.11
2018-03-26,SOUTH AMERICA,Retail,C3,New,1018,40430,13,3,2018,Retirees,Couples,39.72
2018-03-26,OCEANIA,Shopify,F2,New,326,55808,13,3,2018,Middle Aged,Families,171.19
2019-07-01,SOUTH AMERICA,Shopify,F1,Existing,45,10101,27,7,2019,Young Adults,Families,224.47
2019-07-01,CANADA,Retail,F1,Existing,24281,1327796,27,7,2019,Young Adults,Families,54.68
2018-03-26,ASIA,Shopify,C2,Existing,1071,190895,13,3,2018,Middle Aged,Couples,178.24
2018-03-26,USA,Retail,C1,New,34282,999080,13,3,2018,Young Adults,Couples,29.14
2019-07-01,SOUTH AMERICA,Shopify,C3,Existing,69,13677,27,7,2019,Retirees,Couples,198.22
2019-07-01,SOUTH AMERICA,Retail,C4,New,178,7277,27,7,2019,Retirees,Couples,40.88
2019-07-01,OCEANIA,Shopify,C1,New,352,45184,27,7,2019,Young Adults,Couples,128.36
2019-07-01,OCEANIA,Retail,F1,Existing,141881,7210775,27,7,2019,Young Adults,Families,50.82
2019-07-01,CANADA,Shopify,C4,New,14,1997,27,7,2019,Retirees,Couples,142.64
2019-07-01,AFRICA,Retail,C4,Existing,110284,5757646,27,7,2019,Retirees,Couples,52.21
2019-07-01,CANADA,Retail,C4,Existing,26437,1330605,27,7,2019,Retirees,Couples,50.33
2019-07-01,USA,Retail,F2,Existing,81334,4823199,27,7,2019,Middle Aged,Families,59.30
2019-07-01,AFRICA,Shopify,C2,Existing,1744,328344,27,7,2019,Middle Aged,Couples,188.27
2019-07-01,ASIA,Shopify,F3,Existing,1104,205833,27,7,2019,Retirees,Families,186.44
2019-07-01,ASIA,Retail,C2,New,73632,1944111,27,7,2019,Middle Aged,Couples,26.40
2019-07-01,AFRICA,Shopify,C1,New,202,25541,27,7,2019,Young Adults,Couples,126.44
2019-07-01,AFRICA,Retail,F1,Existing,96439,5326384,27,7,2019,Young Adults,Families,55.23
2019-07-01,OCEANIA,Shopify,unknown,Existing,442,85187,27,7,2019,unknown,unknown,192.73
2019-07-01,USA,Shopify,F3,Existing,718,150015,27,7,2019,Retirees,Families,208.93
2019-07-01,CANADA,Retail,F3,New,16952,626547,27,7,2019,Retirees,Families,36.96
2019-07-01,OCEANIA,Retail,F2,Existing,297189,15869881,27,7,2019,Middle Aged,Families,53.40
2019-07-01,USA,Retail,C1,Existing,51891,2206271,27,7,2019,Young Adults,Couples,42.52
2019-07-01,OCEANIA,Shopify,unknown,New,473,75035,27,7,2019,unknown,unknown,158.64
2019-07-01,AFRICA,Shopify,C3,New,237,38320,27,7,2019,Retirees,Couples,161.69
2019-07-01,AFRICA,Shopify,C3,Existing,1954,391215,27,7,2019,Retirees,Couples,200.21
2019-07-01,EUROPE,Shopify,unknown,Existing,19,4443,27,7,2019,unknown,unknown,233.84
2019-07-01,OCEANIA,Shopify,unknown,Guest,5852,1024578,27,7,2019,unknown,unknown,175.08
2019-07-01,EUROPE,Shopify,F3,New,2,216,27,7,2019,Retirees,Families,108.00
2019-07-01,USA,Retail,C2,New,23378,804534,27,7,2019,Middle Aged,Couples,34.41
2019-07-01,SOUTH AMERICA,Retail,C2,Existing,804,33775,27,7,2019,Middle Aged,Couples,42.01
2020-08-31,AFRICA,Shopify,C4,New,58,8562,36,8,2020,Retirees,Couples,147.62
2020-08-31,USA,Retail,F3,Existing,142898,8723663,36,8,2020,Retirees,Families,61.05
2020-08-31,OCEANIA,Shopify,C3,Existing,4703,957939,36,8,2020,Retirees,Couples,203.69
2020-08-31,SOUTH AMERICA,Shopify,unknown,New,40,7625,36,8,2020,unknown,unknown,190.63
2020-08-31,USA,Shopify,C1,New,164,20635,36,8,2020,Young Adults,Couples,125.82
2020-08-31,SOUTH AMERICA,Shopify,C1,New,20,2265,36,8,2020,Young Adults,Couples,113.25
2020-08-31,EUROPE,Retail,C1,Existing,14583,633917,36,8,2020,Young Adults,Couples,43.47
2020-08-31,OCEANIA,Shopify,F2,New,452,72293,36,8,2020,Middle Aged,Families,159.94
2020-08-31,SOUTH AMERICA,Retail,F2,New,382,13839,36,8,2020,Middle Aged,Families,36.23
2020-08-31,SOUTH AMERICA,Retail,C3,Existing,1503,68009,36,8,2020,Retirees,Couples,45.25
2020-08-31,CANADA,Retail,F1,New,7033,269176,36,8,2020,Young Adults,Families,38.27
2020-08-31,SOUTH AMERICA,Retail,unknown,Existing,329,10874,36,8,2020,unknown,unknown,33.05
2020-08-31,CANADA,Retail,F1,Existing,24153,1306932,36,8,2020,Young Adults,Families,54.11
2020-08-31,EUROPE,Shopify,unknown,Existing,15,3507,36,8,2020,unknown,unknown,233.80
2020-08-31,EUROPE,Retail,F3,Existing,18676,1144376,36,8,2020,Retirees,Families,61.28
2020-08-31,SOUTH AMERICA,Shopify,C3,New,19,3325,36,8,2020,Retirees,Couples,175.00
2020-08-31,CANADA,Shopify,unknown,Existing,87,15074,36,8,2020,unknown,unknown,173.26
2020-08-31,CANADA,Retail,C4,Existing,29577,1473178,36,8,2020,Retirees,Couples,49.81
2020-08-31,OCEANIA,Retail,F1,New,41631,1369115,36,8,2020,Young Adults,Families,32.89
2020-08-31,ASIA,Retail,F3,Existing,402652,20255591,36,8,2020,Retirees,Families,50.31
2020-08-31,ASIA,Retail,unknown,Guest,1936351,48773122,36,8,2020,unknown,unknown,25.19
2020-08-31,EUROPE,Shopify,F3,New,4,554,36,8,2020,Retirees,Families,138.50
2020-08-31,USA,Retail,C2,Existing,43493,2126153,36,8,2020,Middle Aged,Couples,48.88
2020-08-31,OCEANIA,Retail,C2,Existing,169157,6603287,36,8,2020,Middle Aged,Couples,39.04
2020-08-31,AFRICA,Shopify,unknown,Guest,5893,1026838,36,8,2020,unknown,unknown,174.25
2020-08-31,ASIA,Retail,C3,Existing,245151,11086427,36,8,2020,Retirees,Couples,45.22
2020-08-31,CANADA,Shopify,C4,Existing,119,19049,36,8,2020,Retirees,Couples,160.08
2020-08-31,ASIA,Shopify,F2,Existing,2983,564306,36,8,2020,Middle Aged,Families,189.17
2020-08-31,SOUTH AMERICA,Shopify,F3,Existing,32,7331,36,8,2020,Retirees,Families,229.09
2020-08-31,USA,Retail,F1,Existing,40076,2272687,36,8,2020,Young Adults,Families,56.71
2020-08-31,SOUTH AMERICA,Shopify,C4,Existing,7,1562,36,8,2020,Retirees,Couples,223.14
2020-08-31,CANADA,Shopify,unknown,New,88,12836,36,8,2020,unknown,unknown,145.86
2020-08-31,AFRICA,Retail,C4,New,46545,1548637,36,8,2020,Retirees,Couples,33.27
2020-08-31,USA,Shopify,C2,New,228,45518,36,8,2020,Middle Aged,Couples,199.64
2020-08-31,SOUTH AMERICA,Retail,C3,New,1045,37786,36,8,2020,Retirees,Couples,36.16
2020-08-31,ASIA,Shopify,C4,Existing,279,48624,36,8,2020,Retirees,Couples,174.28
2020-08-31,ASIA,Retail,unknown,New,66042,2156778,36,8,2020,unknown,unknown,32.66
2020-08-31,AFRICA,Retail,C4,Existing,117018,5941067,36,8,2020,Retirees,Couples,50.77
2020-08-31,EUROPE,Retail,F1,Existing,6769,395877,36,8,2020,Young Adults,Families,58.48
2020-08-31,AFRICA,Retail,F3,Existing,403810,22712143,36,8,2020,Retirees,Families,56.24
2020-08-31,SOUTH AMERICA,Shopify,F1,Existing,74,16149,36,8,2020,Young Adults,Families,218.23
2020-08-31,CANADA,Retail,F2,Existing,61517,3322211,36,8,2020,Middle Aged,Families,54.00
2020-08-31,EUROPE,Retail,F3,New,1655,66422,36,8,2020,Retirees,Families,40.13
2020-08-31,AFRICA,Shopify,F1,New,201,27184,36,8,2020,Young Adults,Families,135.24
2020-08-31,ASIA,Shopify,unknown,Guest,5794,979807,36,8,2020,unknown,unknown,169.11
2020-08-31,AFRICA,Retail,F1,New,23416,833470,36,8,2020,Young Adults,Families,35.59
2020-08-31,OCEANIA,Retail,F1,Existing,144056,7178808,36,8,2020,Young Adults,Families,49.83
2020-08-31,OCEANIA,Retail,C4,Existing,151673,7422165,36,8,2020,Retirees,Couples,48.94
2020-08-31,CANADA,Shopify,C1,Existing,585,91616,36,8,2020,Young Adults,Couples,156.61
2020-08-31,CANADA,Retail,F2,New,18180,661362,36,8,2020,Middle Aged,Families,36.38
2020-08-31,CANADA,Retail,C1,New,30402,786613,36,8,2020,Young Adults,Couples,25.87
2020-08-31,SOUTH AMERICA,Shopify,C1,Existing,69,11755,36,8,2020,Young Adults,Couples,170.36
2020-08-31,USA,Retail,C2,New,26620,883573,36,8,2020,Middle Aged,Couples,33.19
2020-08-31,AFRICA,Retail,unknown,New,58165,2232935,36,8,2020,unknown,unknown,38.39
2020-08-31,CANADA,Shopify,C1,New,97,12438,36,8,2020,Young Adults,Couples,128.23
2020-08-31,SOUTH AMERICA,Shopify,F2,Existing,37,8473,36,8,2020,Middle Aged,Families,229.00
2020-08-31,EUROPE,Retail,C2,New,2857,104677,36,8,2020,Middle Aged,Couples,36.64
2020-08-31,OCEANIA,Retail,C4,New,65594,2016930,36,8,2020,Retirees,Couples,30.75
2020-08-31,EUROPE,Retail,C2,Existing,9710,461694,36,8,2020,Middle Aged,Couples,47.55
2020-08-31,EUROPE,Shopify,C4,New,3,1221,36,8,2020,Retirees,Couples,407.00
2020-08-31,OCEANIA,Shopify,C3,New,567,95547,36,8,2020,Retirees,Couples,168.51
2020-08-31,USA,Retail,C1,New,36069,990085,36,8,2020,Young Adults,Couples,27.45
2020-08-31,ASIA,Retail,F2,Existing,220712,10624187,36,8,2020,Middle Aged,Families,48.14
2020-08-31,OCEANIA,Shopify,unknown,Guest,11218,2078649,36,8,2020,unknown,unknown,185.30
2020-08-31,USA,Shopify,C3,New,205,33536,36,8,2020,Retirees,Couples,163.59
2020-08-31,AFRICA,Shopify,C1,New,299,35957,36,8,2020,Young Adults,Couples,120.26
2020-08-31,EUROPE,Retail,F1,New,953,40760,36,8,2020,Young Adults,Families,42.77
2020-08-31,SOUTH AMERICA,Shopify,C2,New,45,8917,36,8,2020,Middle Aged,Couples,198.16
2020-08-31,CANADA,Shopify,C3,Existing,846,154393,36,8,2020,Retirees,Couples,182.50
2020-08-31,USA,Retail,C1,Existing,57648,2393490,36,8,2020,Young Adults,Couples,41.52
2020-08-31,EUROPE,Shopify,C1,New,21,3288,36,8,2020,Young Adults,Couples,156.57
2020-08-31,SOUTH AMERICA,Shopify,F2,New,9,1437,36,8,2020,Middle Aged,Families,159.67
2020-08-31,OCEANIA,Shopify,F3,New,190,30264,36,8,2020,Retirees,Families,159.28
2020-08-31,AFRICA,Shopify,C3,Existing,2647,530397,36,8,2020,Retirees,Couples,200.38
2020-08-31,CANADA,Shopify,C4,New,21,2494,36,8,2020,Retirees,Couples,118.76
2020-08-31,OCEANIA,Retail,F2,New,91435,3101538,36,8,2020,Middle Aged,Families,33.92
2020-08-31,EUROPE,Retail,C3,New,3843,158799,36,8,2020,Retirees,Couples,41.32
2020-08-31,USA,Retail,F3,New,28987,1096531,36,8,2020,Retirees,Families,37.83
2020-08-31,ASIA,Shopify,F2,New,245,35519,36,8,2020,Middle Aged,Families,144.98
2020-08-31,OCEANIA,Retail,C3,Existing,339633,16520774,36,8,2020,Retirees,Couples,48.64
2020-08-31,EUROPE,Shopify,C3,Existing,182,45036,36,8,2020,Retirees,Couples,247.45
2020-08-31,CANADA,Shopify,F3,Existing,659,126801,36,8,2020,Retirees,Families,192.41
2020-08-31,AFRICA,Shopify,C3,New,340,56734,36,8,2020,Retirees,Couples,166.86
2020-08-31,ASIA,Retail,C1,Existing,187781,6218547,36,8,2020,Young Adults,Couples,33.12
2020-08-31,OCEANIA,Shopify,F2,Existing,6870,1373529,36,8,2020,Middle Aged,Families,199.93
2020-08-31,OCEANIA,Retail,C1,New,172521,3964262,36,8,2020,Young Adults,Couples,22.98
2020-08-31,CANADA,Shopify,C2,New,105,14694,36,8,2020,Middle Aged,Couples,139.94
2020-08-31,CANADA,Retail,F3,New,19524,690966,36,8,2020,Retirees,Families,35.39
2020-08-31,ASIA,Retail,C4,New,53286,1520060,36,8,2020,Retirees,Couples,28.53
2020-08-31,SOUTH AMERICA,Retail,C1,New,2466,52421,36,8,2020,Young Adults,Couples,21.26
2020-08-31,EUROPE,Retail,unknown,Guest,97001,3352338,36,8,2020,unknown,unknown,34.56
2020-08-31,CANADA,Shopify,F3,New,36,6107,36,8,2020,Retirees,Families,169.64
2020-08-31,USA,Shopify,F2,Existing,2031,402380,36,8,2020,Middle Aged,Families,198.12
2020-08-31,AFRICA,Retail,F2,Existing,277600,14910405,36,8,2020,Middle Aged,Families,53.71
2020-08-31,USA,Shopify,F2,New,157,25858,36,8,2020,Middle Aged,Families,164.70
2020-08-31,EUROPE,Shopify,unknown,New,20,4085,36,8,2020,unknown,unknown,204.25
2020-08-31,OCEANIA,Shopify,C1,Existing,2801,481198,36,8,2020,Young Adults,Couples,171.80
2020-08-31,CANADA,Retail,unknown,Guest,396145,11133538,36,8,2020,unknown,unknown,28.10
2020-08-31,USA,Retail,F2,New,28592,1063716,36,8,2020,Middle Aged,Families,37.20
2020-08-31,CANADA,Retail,C2,Existing,23062,1001335,36,8,2020,Middle Aged,Couples,43.42
2020-08-31,OCEANIA,Retail,unknown,Guest,2437738,63989387,36,8,2020,unknown,unknown,26.25
2020-08-31,EUROPE,Shopify,unknown,Guest,343,79359,36,8,2020,unknown,unknown,231.37
2020-08-31,OCEANIA,Shopify,F3,Existing,3920,836865,36,8,2020,Retirees,Families,213.49
2020-08-31,ASIA,Shopify,unknown,Existing,384,67279,36,8,2020,unknown,unknown,175.21
2020-08-31,SOUTH AMERICA,Retail,F3,New,329,11863,36,8,2020,Retirees,Families,36.06
2020-08-31,EUROPE,Retail,F2,New,1738,72565,36,8,2020,Middle Aged,Families,41.75
2020-08-31,OCEANIA,Retail,F3,New,110894,3749562,36,8,2020,Retirees,Families,33.81
2020-08-31,USA,Shopify,unknown,Existing,196,40740,36,8,2020,unknown,unknown,207.86
2020-08-31,USA,Retail,C3,Existing,102736,5786447,36,8,2020,Retirees,Couples,56.32
