drg_definition,year,ttl_discharges,yoy_discharges,medicare_payment_ratio,medicare_segment,avg_hospital_charged,yoy_hos_charged,avg_patient_paid,yoy_patient_paid,avg_medicare_covered,yoy_medicare_covered
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,2012,15809,,0.93,High Medicare Dependency,51280.9,,14817.42,,13729.1,
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,2014,12596,-20.32,0.87,High Medicare Dependency,50993.6,-0.56,14405.19,-2.78,12568.23,-8.46
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,2015,12436,-1.27,0.86,High Medicare Dependency,50621.72,-0.73,13945.58,-3.19,12057.38,-4.06
556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,2014,6739,,0.77,Moderate Medicare Dependency,24154.66,,6297.39,,4860.43,
556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,2015,6953,3.18,0.77,Moderate Medicare Dependency,24869.0,2.96,6169.87,-2.02,4745.98,-2.35
684 - RENAL FAILURE W/O CC/MCC,2011,19540,,0.79,Moderate Medicare Dependency,16954.12,,4664.46,,3671.66,
684 - RENAL FAILURE W/O CC/MCC,2012,19457,-0.42,0.77,Moderate Medicare Dependency,17142.49,1.11,4566.49,-2.1,3516.99,-4.21
684 - RENAL FAILURE W/O CC/MCC,2013,18451,-5.17,0.73,Moderate Medicare Dependency,17876.51,4.28,4679.13,2.47,3426.81,-2.56
684 - RENAL FAILURE W/O CC/MCC,2014,16018,-13.19,0.75,Moderate Medicare Dependency,19075.28,6.71,4999.72,6.85,3741.44,9.18
684 - RENAL FAILURE W/O CC/MCC,2015,15955,-0.39,0.73,Moderate Medicare Dependency,19715.28,3.36,4781.01,-4.37,3495.42,-6.58
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,2014,12284,,0.84,High Medicare Dependency,39550.65,,10393.33,,8715.8,
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,2015,11322,-7.83,0.82,High Medicare Dependency,43079.48,8.92,11113.98,6.93,9070.33,4.07
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,2014,446,,0.84,High Medicare Dependency,98574.47,,24208.97,,20266.34,
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,2015,449,0.67,0.81,High Medicare Dependency,104368.71,5.88,24385.58,0.73,19832.65,-2.14
196 - INTERSTITIAL LUNG DISEASE W MCC,2014,1384,,0.85,High Medicare Dependency,51018.12,,13551.51,,11524.89,
196 - INTERSTITIAL LUNG DISEASE W MCC,2015,1478,6.79,0.81,High Medicare Dependency,56219.71,10.2,13840.75,2.13,11246.06,-2.42
225 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,2014,163,,0.84,High Medicare Dependency,192960.33,,46022.03,,38813.72,
225 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,2015,104,-36.2,0.83,High Medicare Dependency,229602.74,18.99,46709.86,1.49,38584.6,-0.59
582 - MASTECTOMY FOR MALIGNANCY W CC/MCC,2014,76,,0.84,High Medicare Dependency,62826.75,,11950.74,,10069.3,
582 - MASTECTOMY FOR MALIGNANCY W CC/MCC,2015,34,-55.26,0.78,Moderate Medicare Dependency,67546.26,7.51,11388.44,-4.71,8934.59,-11.27
583 - MASTECTOMY FOR MALIGNANCY W/O CC/MCC,2014,176,,0.76,Moderate Medicare Dependency,49384.85,,9525.7,,7195.94,
583 - MASTECTOMY FOR MALIGNANCY W/O CC/MCC,2015,147,-16.48,0.81,High Medicare Dependency,57354.21,16.14,9641.18,1.21,7813.55,8.58
820 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,2014,12,,0.92,High Medicare Dependency,210723.0,,75147.0,,68786.0,
820 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,2015,16,33.33,0.82,High Medicare Dependency,473632.0,124.77,118664.0,57.91,97144.0,41.23
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,2014,1166,,0.84,High Medicare Dependency,89292.64,,26174.44,,21963.09,
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,2015,1437,23.24,0.83,High Medicare Dependency,89844.81,0.62,25543.96,-2.41,21307.71,-2.98
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,2011,16952,,0.89,High Medicare Dependency,39321.73,,10835.56,,9633.97,
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,2012,19024,12.22,0.89,High Medicare Dependency,40415.27,2.78,11085.62,2.31,9849.63,2.24
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,2013,20458,7.54,0.85,High Medicare Dependency,41167.44,1.86,11048.57,-0.33,9351.58,-5.06
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,2014,21365,4.43,0.85,High Medicare Dependency,42603.42,3.49,10987.18,-0.56,9354.53,0.03
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,2015,23210,8.64,0.84,High Medicare Dependency,45695.33,7.26,10908.84,-0.71,9199.11,-1.66
935 - NON-EXTENSIVE BURNS,2014,864,,0.75,Moderate Medicare Dependency,55454.29,,18506.42,,13841.26,
935 - NON-EXTENSIVE BURNS,2015,852,-1.39,0.83,High Medicare Dependency,66578.84,20.06,16985.72,-8.22,14041.39,1.45
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2014,7726,,0.82,High Medicare Dependency,77972.67,,19866.09,,16387.24,
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2015,7705,-0.27,0.82,High Medicare Dependency,84565.04,8.45,20325.32,2.31,16653.62,1.63
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",2014,243,,0.79,Moderate Medicare Dependency,42749.09,,10699.36,,8438.14,
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",2015,202,-16.87,0.75,Moderate Medicare Dependency,45343.32,6.07,12321.05,15.16,9220.27,9.27
176 - PULMONARY EMBOLISM W/O MCC,2011,32042,,0.83,High Medicare Dependency,26417.08,,7361.85,,6141.0,
176 - PULMONARY EMBOLISM W/O MCC,2012,32971,2.9,0.82,High Medicare Dependency,27403.98,3.74,7374.9,0.18,6064.7,-1.24
176 - PULMONARY EMBOLISM W/O MCC,2013,31338,-4.95,0.79,Moderate Medicare Dependency,28037.0,2.31,7399.02,0.33,5826.49,-3.93
176 - PULMONARY EMBOLISM W/O MCC,2014,28799,-8.1,0.78,Moderate Medicare Dependency,28523.95,1.74,7482.27,1.13,5870.22,0.75
176 - PULMONARY EMBOLISM W/O MCC,2015,28391,-1.42,0.78,Moderate Medicare Dependency,29323.46,2.8,7278.46,-2.72,5671.27,-3.39
437 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,2014,12,,0.57,Moderate Medicare Dependency,47428.0,,8530.0,,4892.0,
437 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,2015,22,83.33,0.81,High Medicare Dependency,46318.0,-2.34,6361.0,-25.43,5123.5,4.73
658 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,2014,2729,,0.78,Moderate Medicare Dependency,53066.12,,12884.96,,10113.89,
658 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,2015,2731,0.07,0.77,Moderate Medicare Dependency,53796.95,1.38,13133.01,1.93,10105.91,-0.08
"755 - MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC",2014,203,,0.83,High Medicare Dependency,37854.88,,10101.18,,8418.66,
"755 - MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC",2015,158,-22.17,0.78,Moderate Medicare Dependency,39540.66,4.45,9449.75,-6.45,7388.58,-12.24
866 - VIRAL ILLNESS W/O MCC,2014,925,,0.74,Moderate Medicare Dependency,28189.81,,7778.02,,5721.73,
866 - VIRAL ILLNESS W/O MCC,2015,1057,14.27,0.71,Moderate Medicare Dependency,30641.6,8.7,7593.66,-2.37,5425.71,-5.17
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,2014,830,,0.82,High Medicare Dependency,101692.54,,28718.67,,23632.41,
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,2015,827,-0.36,0.84,High Medicare Dependency,105274.0,3.52,28088.3,-2.19,23607.65,-0.1
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",2011,40836,,0.87,High Medicare Dependency,30496.93,,8118.28,,7051.65,
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",2012,40427,-1.0,0.86,High Medicare Dependency,31398.8,2.96,7967.54,-1.86,6860.43,-2.71
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",2013,39405,-2.53,0.82,High Medicare Dependency,32057.54,2.1,7805.83,-2.03,6424.64,-6.35
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",2014,36576,-7.18,0.82,High Medicare Dependency,33596.5,4.8,7882.94,0.99,6452.7,0.44
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",2015,37651,2.94,0.81,High Medicare Dependency,34314.62,2.14,7653.09,-2.92,6191.77,-4.04
"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",2014,4107,,0.86,High Medicare Dependency,171530.8,,46902.24,,40560.41,
"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",2015,4170,1.53,0.86,High Medicare Dependency,177480.6,3.47,46612.74,-0.62,40123.8,-1.08
383 - UNCOMPLICATED PEPTIC ULCER W MCC,2014,13,,0.67,Moderate Medicare Dependency,58103.0,,10555.0,,7037.0,
383 - UNCOMPLICATED PEPTIC ULCER W MCC,2015,13,0.0,0.87,High Medicare Dependency,44650.0,-23.15,8747.0,-17.13,7632.0,8.46
687 - KIDNEY & URINARY TRACT NEOPLASMS W CC,2014,27,,0.79,Moderate Medicare Dependency,48670.93,,9024.63,,7148.22,
687 - KIDNEY & URINARY TRACT NEOPLASMS W CC,2015,15,-44.44,0.81,High Medicare Dependency,43274.0,-11.09,7037.0,-22.02,5701.0,-20.25
809 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,2014,9016,,0.81,High Medicare Dependency,38939.37,,10340.49,,8413.82,
809 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,2015,8746,-2.99,0.81,High Medicare Dependency,38935.43,-0.01,10271.29,-0.67,8272.07,-1.68
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,2014,776,,0.82,High Medicare Dependency,194452.21,,68136.55,,55940.48,
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,2015,950,22.42,0.81,High Medicare Dependency,206979.26,6.44,68067.29,-0.1,55275.76,-1.19
862 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,2014,4079,,0.84,High Medicare Dependency,56637.37,,16496.92,,13906.14,
862 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,2015,4551,11.57,0.84,High Medicare Dependency,56585.88,-0.09,15804.21,-4.2,13206.49,-5.03
982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,2014,7691,,0.87,High Medicare Dependency,87066.08,,21788.93,,19020.1,
982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,2015,7301,-5.07,0.86,High Medicare Dependency,86815.77,-0.29,21237.89,-2.53,18336.3,-3.6
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,2014,5071,,0.84,High Medicare Dependency,53871.55,,15036.17,,12679.98,
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,2015,5289,4.3,0.84,High Medicare Dependency,61112.31,13.44,15168.32,0.88,12742.4,0.49
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,2013,17500,,0.87,High Medicare Dependency,88078.53,,23681.48,,20532.3,
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,2014,17135,-2.09,0.87,High Medicare Dependency,92918.72,5.5,24350.97,2.83,21117.83,2.85
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,2015,15781,-7.9,0.86,High Medicare Dependency,97154.34,4.56,24481.5,0.54,21120.49,0.01
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,2013,103200,,0.81,High Medicare Dependency,33289.02,,8115.23,,6593.01,
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,2014,100654,-2.47,0.81,High Medicare Dependency,34639.12,4.06,8128.97,0.17,6557.52,-0.54
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,2015,100184,-0.47,0.8,Moderate Medicare Dependency,35782.57,3.3,8001.03,-1.57,6391.18,-2.54
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,2014,1930,,0.79,Moderate Medicare Dependency,23937.42,,6164.33,,4898.08,
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,2015,1831,-5.13,0.78,Moderate Medicare Dependency,23594.25,-1.43,6055.11,-1.77,4746.93,-3.09
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,2011,18227,,0.86,High Medicare Dependency,48091.43,,11518.1,,9881.6,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,2012,17799,-2.35,0.85,High Medicare Dependency,49643.05,3.23,11677.32,1.38,9975.23,0.95
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,2013,16266,-8.61,0.84,High Medicare Dependency,52878.82,6.52,11916.34,2.05,9959.08,-0.16
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,2014,16403,0.84,0.83,High Medicare Dependency,55159.24,4.31,11585.21,-2.78,9624.27,-3.36
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,2015,15120,-7.82,0.83,High Medicare Dependency,56721.63,2.83,11643.36,0.5,9614.52,-0.1
815 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,2014,67,,0.86,High Medicare Dependency,35490.64,,9521.46,,8210.28,
815 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,2015,77,14.93,0.78,Moderate Medicare Dependency,41381.22,16.6,12096.32,27.04,9474.45,15.4
929 - FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W/O CC/MCC,2014,87,,0.87,High Medicare Dependency,64561.32,,17908.94,,15576.15,
929 - FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W/O CC/MCC,2015,68,-21.84,0.72,Moderate Medicare Dependency,79848.88,23.68,18805.24,5.0,13453.38,-13.63
948 - SIGNS & SYMPTOMS W/O MCC,2011,50411,,0.81,High Medicare Dependency,18739.87,,4946.96,,4024.64,
948 - SIGNS & SYMPTOMS W/O MCC,2012,45583,-9.58,0.82,High Medicare Dependency,19790.42,5.61,5049.09,2.06,4116.75,2.29
948 - SIGNS & SYMPTOMS W/O MCC,2013,39741,-12.82,0.76,Moderate Medicare Dependency,21713.02,9.71,5305.32,5.07,4045.14,-1.74
948 - SIGNS & SYMPTOMS W/O MCC,2014,33548,-15.58,0.78,Moderate Medicare Dependency,23466.11,8.07,5887.41,10.97,4610.68,13.98
948 - SIGNS & SYMPTOMS W/O MCC,2015,33109,-1.31,0.78,Moderate Medicare Dependency,24501.26,4.41,5946.71,1.01,4625.35,0.32
976 - HIV W MAJOR RELATED CONDITION W/O CC/MCC,2014,26,,0.81,High Medicare Dependency,33000.27,,13854.12,,11170.58,
157 - DENTAL & ORAL DISEASES W MCC,2014,36,,0.85,High Medicare Dependency,58998.67,,14035.33,,11887.0,
157 - DENTAL & ORAL DISEASES W MCC,2015,50,38.89,0.8,Moderate Medicare Dependency,48543.9,-17.72,16220.96,15.57,12976.12,9.16
186 - PLEURAL EFFUSION W MCC,2014,2843,,0.87,High Medicare Dependency,46507.98,,11469.11,,9932.32,
186 - PLEURAL EFFUSION W MCC,2015,3243,14.07,0.87,High Medicare Dependency,46748.7,0.52,11248.83,-1.92,9757.85,-1.76
484 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W/O CC/MCC,2013,19021,,0.83,High Medicare Dependency,57421.37,,14884.98,,12345.13,
484 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W/O CC/MCC,2014,22204,16.73,0.84,High Medicare Dependency,59523.95,3.66,15581.19,4.68,13074.22,5.91
949 - AFTERCARE W CC/MCC,2014,25,,0.93,High Medicare Dependency,17083.72,,10777.6,,9975.92,
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,2014,264,,0.87,High Medicare Dependency,355844.16,,93133.72,,81467.8,
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,2015,288,9.09,0.9,High Medicare Dependency,323604.15,-9.06,85425.33,-8.28,77122.62,-5.33
909 - OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,2014,167,,0.76,Moderate Medicare Dependency,39886.8,,13193.71,,9980.38,
909 - OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,2015,103,-38.32,0.78,Moderate Medicare Dependency,57769.91,44.83,12136.08,-8.02,9494.97,-4.86
123 - NEUROLOGICAL EYE DISORDERS,2014,201,,0.7,Moderate Medicare Dependency,31032.98,,8215.17,,5751.76,
123 - NEUROLOGICAL EYE DISORDERS,2015,166,-17.41,0.65,Moderate Medicare Dependency,28671.69,-7.61,6784.25,-17.42,4388.49,-23.7
475 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,2014,413,,0.79,Moderate Medicare Dependency,67516.12,,18093.83,,14218.33,
475 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,2015,324,-21.55,0.78,Moderate Medicare Dependency,66278.6,-1.83,16799.55,-7.15,13035.53,-8.32
496 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,2014,686,,0.83,High Medicare Dependency,57967.11,,16256.49,,13524.72,
496 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,2015,635,-7.43,0.8,Moderate Medicare Dependency,61744.97,6.52,16273.62,0.11,13038.42,-3.6
"558 - TENDONITIS, MYOSITIS & BURSITIS W/O MCC",2014,5418,,0.78,Moderate Medicare Dependency,25894.56,,6688.92,,5231.72,
"558 - TENDONITIS, MYOSITIS & BURSITIS W/O MCC",2015,5990,10.56,0.77,Moderate Medicare Dependency,26970.15,4.15,6730.31,0.62,5209.04,-0.43
673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,2014,3740,,0.88,High Medicare Dependency,97052.09,,24946.12,,21874.91,
673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,2015,3635,-2.81,0.88,High Medicare Dependency,104796.69,7.98,27889.82,11.8,24543.69,12.2
774 - VAGINAL DELIVERY W COMPLICATING DIAGNOSES,2014,211,,0.8,Moderate Medicare Dependency,20495.38,,10440.39,,8364.94,
774 - VAGINAL DELIVERY W COMPLICATING DIAGNOSES,2015,244,15.64,0.79,Moderate Medicare Dependency,24247.16,18.31,9712.57,-6.97,7691.46,-8.05
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,2014,28,,0.82,High Medicare Dependency,37507.43,,12023.46,,9883.86,
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,2015,47,67.86,0.8,Moderate Medicare Dependency,44762.77,19.34,12790.53,6.38,10288.79,4.1
266 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,2015,7834,,0.96,High Medicare Dependency,250165.32,,65412.55,,62507.34,
577 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,2014,116,,0.88,High Medicare Dependency,82057.11,,24178.01,,21175.44,
577 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,2015,244,110.34,0.86,High Medicare Dependency,93096.37,13.45,19100.3,-21.0,16383.39,-22.63
"493 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC",2014,12401,,0.83,High Medicare Dependency,62731.35,,15086.3,,12510.91,
"493 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC",2015,12011,-3.14,0.81,High Medicare Dependency,68017.98,8.43,15563.92,3.17,12667.54,1.25
"560 - AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",2014,317,,0.84,High Medicare Dependency,32955.92,,10663.89,,8911.22,
"560 - AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",2015,400,26.18,0.8,Moderate Medicare Dependency,38006.54,15.33,9758.0,-8.49,7778.55,-12.71
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",2011,56816,,0.89,High Medicare Dependency,28861.66,,8363.5,,7474.02,
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",2012,55428,-2.44,0.89,High Medicare Dependency,30171.75,4.54,8321.77,-0.5,7430.07,-0.59
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",2013,58351,5.27,0.85,High Medicare Dependency,31253.74,3.59,8459.3,1.65,7190.73,-3.22
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",2014,58450,0.17,0.86,High Medicare Dependency,33273.62,6.46,8875.97,4.93,7596.12,5.64
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",2015,61977,6.03,0.85,High Medicare Dependency,34924.86,4.96,8735.4,-1.58,7415.46,-2.38
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,2011,319072,,0.92,High Medicare Dependency,49418.6,,13650.95,,12536.92,
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,2012,345343,8.23,0.92,High Medicare Dependency,50949.71,3.1,13874.58,1.64,12722.0,1.48
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,2013,396451,14.8,0.89,High Medicare Dependency,51688.31,1.45,13976.76,0.74,12384.29,-2.65
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,2014,438597,10.63,0.88,High Medicare Dependency,53106.64,2.74,13727.94,-1.78,12098.62,-2.31
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,2015,521358,18.87,0.88,High Medicare Dependency,54280.16,2.21,13341.42,-2.82,11677.44,-3.48
882 - NEUROSES EXCEPT DEPRESSIVE,2014,726,,0.83,High Medicare Dependency,13400.92,,5849.49,,4828.52,
882 - NEUROSES EXCEPT DEPRESSIVE,2015,568,-21.76,0.81,High Medicare Dependency,14732.24,9.93,5776.74,-1.24,4689.98,-2.87
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,2014,174,,0.74,Moderate Medicare Dependency,49959.05,,12118.07,,9017.7,
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,2015,101,-41.95,0.78,Moderate Medicare Dependency,51969.68,4.02,12593.35,3.92,9851.71,9.25
867 - OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC,2014,663,,0.85,High Medicare Dependency,90145.57,,27520.06,,23451.24,
867 - OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC,2015,699,5.43,0.83,High Medicare Dependency,92124.2,2.19,27733.41,0.78,22886.69,-2.41
"894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA",2014,3230,,0.83,High Medicare Dependency,8542.15,,5199.98,,4328.85,
"894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA",2015,2851,-11.73,0.82,High Medicare Dependency,8427.96,-1.34,5249.41,0.95,4307.02,-0.5
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,2014,7757,,0.86,High Medicare Dependency,46860.53,,12659.55,,10901.18,
