"travel_code","user_code","hotel_name","city","state","stay_duration","price","total","checkin_date","checkout_date"
225,2,"Hotel BD","Natal ","RN",4,"242.88","971.52","2022-03-24","2022-03-28"
233,3,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2019-11-14","2019-11-16"
235,3,"Hotel A","Florianopolis ","SC",3,"313.02","939.06","2019-11-28","2019-12-01"
238,3,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2019-12-19","2019-12-21"
239,3,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2019-12-26","2019-12-28"
240,3,"Hotel BP","Brasilia ","DF",4,"247.62","990.48","2020-01-02","2020-01-06"
241,3,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2020-01-09","2020-01-10"
243,3,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2020-01-23","2020-01-24"
244,3,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2020-01-30","2020-02-03"
246,3,"Hotel AU","Recife ","PE",2,"312.83","625.66","2020-02-13","2020-02-15"
248,3,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-02-27","2020-02-29"
255,3,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2020-04-16","2020-04-17"
259,3,"Hotel BD","Natal ","RN",2,"242.88","485.76","2020-05-14","2020-05-16"
263,3,"Hotel BW","Campo Grande ","MS",3,"60.39","181.17","2020-06-11","2020-06-14"
269,3,"Hotel CB","Rio de Janeiro ","RJ",2,"165.99","331.98","2020-07-23","2020-07-25"
275,3,"Hotel BD","Natal ","RN",2,"242.88","485.76","2020-09-03","2020-09-05"
279,3,"Hotel BD","Natal ","RN",1,"242.88","242.88","2020-10-01","2020-10-02"
283,3,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2020-10-29","2020-10-30"
287,3,"Hotel AU","Recife ","PE",1,"312.83","312.83","2020-11-26","2020-11-27"
290,3,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2020-12-17","2020-12-18"
291,3,"Hotel K","Salvador ","BH",1,"263.41","263.41","2020-12-24","2020-12-25"
295,3,"Hotel BD","Natal ","RN",4,"242.88","971.52","2021-01-21","2021-01-25"
296,3,"Hotel AU","Recife ","PE",3,"312.83","938.49","2021-01-28","2021-01-31"
299,3,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2021-02-18","2021-02-21"
300,3,"Hotel K","Salvador ","BH",3,"263.41","790.23","2021-02-25","2021-02-28"
303,3,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2021-03-18","2021-03-19"
305,3,"Hotel BD","Natal ","RN",4,"242.88","971.52","2021-04-01","2021-04-05"
306,3,"Hotel A","Florianopolis ","SC",3,"313.02","939.06","2021-04-08","2021-04-11"
307,3,"Hotel BD","Natal ","RN",2,"242.88","485.76","2021-04-15","2021-04-17"
311,3,"Hotel AF","Sao Paulo ","SP",2,"139.1","278.2","2021-05-13","2021-05-15"
315,3,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2021-06-10","2021-06-13"
322,3,"Hotel BD","Natal ","RN",1,"242.88","242.88","2021-07-29","2021-07-30"
325,3,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2021-08-19","2021-08-22"
337,3,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2021-11-11","2021-11-14"
338,3,"Hotel Z","Aracaju ","SE",3,"208.04","624.12","2021-11-18","2021-11-21"
347,3,"Hotel BP","Brasilia ","DF",1,"247.62","247.62","2022-01-20","2022-01-21"
350,3,"Hotel BD","Natal ","RN",1,"242.88","242.88","2022-02-10","2022-02-11"
363,3,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2022-05-12","2022-05-13"
369,3,"Hotel AU","Recife ","PE",3,"312.83","938.49","2022-06-23","2022-06-26"
373,3,"Hotel BW","Campo Grande ","MS",4,"60.39","241.56","2022-07-21","2022-07-25"
377,3,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2022-08-18","2022-08-22"
382,3,"Hotel K","Salvador ","BH",2,"263.41","526.82","2022-09-22","2022-09-24"
383,3,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2022-09-29","2022-10-01"
385,3,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2022-10-13","2022-10-15"
387,3,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2022-10-27","2022-10-30"
388,3,"Hotel BD","Natal ","RN",4,"242.88","971.52","2022-11-03","2022-11-07"
394,3,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2022-12-15","2022-12-19"
397,3,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2023-01-05","2023-01-09"
398,3,"Hotel BW","Campo Grande ","MS",4,"60.39","241.56","2023-01-12","2023-01-16"
403,3,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2023-02-16","2023-02-19"
404,3,"Hotel Z","Aracaju ","SE",1,"208.04","208.04","2023-02-23","2023-02-24"
406,3,"Hotel BD","Natal ","RN",2,"242.88","485.76","2023-03-09","2023-03-11"
408,3,"Hotel K","Salvador ","BH",1,"263.41","263.41","2023-03-23","2023-03-24"
409,3,"Hotel K","Salvador ","BH",3,"263.41","790.23","2023-03-30","2023-04-02"
410,3,"Hotel BW","Campo Grande ","MS",3,"60.39","181.17","2023-04-06","2023-04-09"
412,3,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2023-04-20","2023-04-22"
415,3,"Hotel CB","Rio de Janeiro ","RJ",2,"165.99","331.98","2023-05-11","2023-05-13"
417,3,"Hotel BD","Natal ","RN",2,"242.88","485.76","2023-05-25","2023-05-27"
418,3,"Hotel AU","Recife ","PE",1,"312.83","312.83","2023-06-01","2023-06-02"
419,3,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2023-06-08","2023-06-10"
424,3,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2023-07-13","2023-07-14"
426,4,"Hotel AU","Recife ","PE",2,"312.83","625.66","2019-10-03","2019-10-05"
431,4,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2019-11-07","2019-11-11"
432,4,"Hotel AU","Recife ","PE",3,"312.83","938.49","2019-11-14","2019-11-17"
440,4,"Hotel K","Salvador ","BH",3,"263.41","790.23","2020-01-09","2020-01-12"
442,4,"Hotel Z","Aracaju ","SE",2,"208.04","416.08","2020-01-23","2020-01-25"
445,4,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2020-02-13","2020-02-14"
447,4,"Hotel AF","Sao Paulo ","SP",2,"139.1","278.2","2020-02-27","2020-02-29"
450,4,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-03-19","2020-03-21"
452,4,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2020-04-02","2020-04-03"
456,4,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2020-04-30","2020-05-03"
457,4,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-05-07","2020-05-09"
468,4,"Hotel Z","Aracaju ","SE",1,"208.04","208.04","2020-07-23","2020-07-24"
473,4,"Hotel AF","Sao Paulo ","SP",4,"139.1","556.4","2020-08-27","2020-08-31"
481,4,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2020-10-22","2020-10-26"
486,4,"Hotel Z","Aracaju ","SE",4,"208.04","832.16","2020-11-26","2020-11-30"
490,4,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2020-12-24","2020-12-25"
491,4,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2020-12-31","2021-01-04"
494,4,"Hotel AF","Sao Paulo ","SP",2,"139.1","278.2","2021-01-21","2021-01-23"
498,4,"Hotel CB","Rio de Janeiro ","RJ",4,"165.99","663.96","2021-02-18","2021-02-22"
500,4,"Hotel K","Salvador ","BH",2,"263.41","526.82","2021-03-04","2021-03-06"
501,4,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2021-03-11","2021-03-12"
503,4,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2021-03-25","2021-03-27"
505,4,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2021-04-08","2021-04-10"
514,4,"Hotel AU","Recife ","PE",3,"312.83","938.49","2021-06-10","2021-06-13"
517,4,"Hotel BD","Natal ","RN",4,"242.88","971.52","2021-07-01","2021-07-05"
529,4,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2021-09-23","2021-09-26"
532,4,"Hotel CB","Rio de Janeiro ","RJ",4,"165.99","663.96","2021-10-14","2021-10-18"
537,4,"Hotel AU","Recife ","PE",3,"312.83","938.49","2021-11-18","2021-11-21"
541,4,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2021-12-16","2021-12-19"
543,4,"Hotel BW","Campo Grande ","MS",3,"60.39","181.17","2021-12-30","2022-01-02"
545,4,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2022-01-13","2022-01-14"
548,4,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2022-02-03","2022-02-05"
555,4,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2022-03-24","2022-03-25"
556,4,"Hotel K","Salvador ","BH",3,"263.41","790.23","2022-03-31","2022-04-03"
557,4,"Hotel K","Salvador ","BH",1,"263.41","263.41","2022-04-07","2022-04-08"
559,4,"Hotel K","Salvador ","BH",2,"263.41","526.82","2022-04-21","2022-04-23"
562,4,"Hotel BD","Natal ","RN",2,"242.88","485.76","2022-05-12","2022-05-14"
564,4,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2022-05-26","2022-05-27"
565,4,"Hotel CB","Rio de Janeiro ","RJ",2,"165.99","331.98","2022-06-02","2022-06-04"
574,4,"Hotel BP","Brasilia ","DF",4,"247.62","990.48","2022-08-04","2022-08-08"
578,4,"Hotel Z","Aracaju ","SE",3,"208.04","624.12","2022-09-01","2022-09-04"
581,4,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2022-09-22","2022-09-25"
582,4,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2022-09-29","2022-10-02"
586,4,"Hotel K","Salvador ","BH",2,"263.41","526.82","2022-10-27","2022-10-29"
587,4,"Hotel K","Salvador ","BH",1,"263.41","263.41","2022-11-03","2022-11-04"
588,4,"Hotel BD","Natal ","RN",2,"242.88","485.76","2022-11-10","2022-11-12"
590,4,"Hotel AU","Recife ","PE",2,"312.83","625.66","2022-11-24","2022-11-26"
591,4,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2022-12-01","2022-12-05"
596,4,"Hotel BP","Brasilia ","DF",1,"247.62","247.62","2023-01-05","2023-01-06"
598,4,"Hotel BD","Natal ","RN",4,"242.88","971.52","2023-01-19","2023-01-23"
604,4,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2023-03-02","2023-03-05"
605,4,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2023-03-09","2023-03-13"
609,4,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2023-04-06","2023-04-08"
619,4,"Hotel CB","Rio de Janeiro ","RJ",4,"165.99","663.96","2023-06-15","2023-06-19"
621,4,"Hotel BP","Brasilia ","DF",4,"247.62","990.48","2023-06-29","2023-07-03"
623,4,"Hotel BD","Natal ","RN",4,"242.88","971.52","2023-07-13","2023-07-17"
624,5,"Hotel K","Salvador ","BH",2,"263.41","526.82","2019-09-26","2019-09-28"
638,5,"Hotel K","Salvador ","BH",1,"263.41","263.41","2020-01-02","2020-01-03"
643,5,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2020-02-06","2020-02-09"
644,5,"Hotel K","Salvador ","BH",1,"263.41","263.41","2020-02-13","2020-02-14"
646,5,"Hotel K","Salvador ","BH",3,"263.41","790.23","2020-02-27","2020-03-01"
648,5,"Hotel CB","Rio de Janeiro ","RJ",4,"165.99","663.96","2020-03-12","2020-03-16"
658,5,"Hotel BD","Natal ","RN",1,"242.88","242.88","2020-05-21","2020-05-22"
668,5,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2020-07-30","2020-07-31"
670,5,"Hotel K","Salvador ","BH",3,"263.41","790.23","2020-08-13","2020-08-16"
676,5,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2020-09-24","2020-09-28"
680,5,"Hotel AF","Sao Paulo ","SP",2,"139.1","278.2","2020-10-22","2020-10-24"
683,5,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2020-11-12","2020-11-13"
687,5,"Hotel Z","Aracaju ","SE",1,"208.04","208.04","2020-12-10","2020-12-11"
688,6,"Hotel BD","Natal ","RN",3,"242.88","728.64","2019-09-26","2019-09-29"
690,6,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2019-10-10","2019-10-13"
695,6,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2019-11-14","2019-11-16"
696,6,"Hotel CB","Rio de Janeiro ","RJ",2,"165.99","331.98","2019-11-21","2019-11-23"
698,6,"Hotel AU","Recife ","PE",1,"312.83","312.83","2019-12-05","2019-12-06"
699,6,"Hotel BW","Campo Grande ","MS",4,"60.39","241.56","2019-12-12","2019-12-16"
701,6,"Hotel BP","Brasilia ","DF",4,"247.62","990.48","2019-12-26","2019-12-30"
707,6,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2020-02-06","2020-02-08"
711,6,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2020-03-05","2020-03-06"
712,6,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2020-03-12","2020-03-16"
718,6,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2020-04-23","2020-04-27"
719,6,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2020-04-30","2020-05-01"
723,6,"Hotel BP","Brasilia ","DF",2,"247.62","495.24","2020-05-28","2020-05-30"
739,6,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2020-09-17","2020-09-20"
745,6,"Hotel K","Salvador ","BH",1,"263.41","263.41","2020-10-29","2020-10-30"
746,6,"Hotel CB","Rio de Janeiro ","RJ",4,"165.99","663.96","2020-11-05","2020-11-09"
747,6,"Hotel BD","Natal ","RN",4,"242.88","971.52","2020-11-12","2020-11-16"
749,6,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2020-11-26","2020-11-28"
753,6,"Hotel BP","Brasilia ","DF",2,"247.62","495.24","2020-12-24","2020-12-26"
754,6,"Hotel BD","Natal ","RN",2,"242.88","485.76","2020-12-31","2021-01-02"
755,6,"Hotel K","Salvador ","BH",1,"263.41","263.41","2021-01-07","2021-01-08"
762,6,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2021-02-25","2021-02-28"
767,6,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2021-04-01","2021-04-04"
778,7,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2019-11-21","2019-11-24"
787,7,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2020-01-23","2020-01-24"
788,7,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-01-30","2020-02-01"
793,7,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2020-03-05","2020-03-08"
795,7,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-03-19","2020-03-21"
803,7,"Hotel BW","Campo Grande ","MS",4,"60.39","241.56","2020-05-14","2020-05-18"
805,7,"Hotel Z","Aracaju ","SE",2,"208.04","416.08","2020-05-28","2020-05-30"
806,7,"Hotel AU","Recife ","PE",3,"312.83","938.49","2020-06-04","2020-06-07"
808,7,"Hotel BD","Natal ","RN",3,"242.88","728.64","2020-06-18","2020-06-21"
809,7,"Hotel BP","Brasilia ","DF",4,"247.62","990.48","2020-06-25","2020-06-29"
812,7,"Hotel BD","Natal ","RN",2,"242.88","485.76","2020-07-16","2020-07-18"
815,7,"Hotel AU","Recife ","PE",3,"312.83","938.49","2020-08-06","2020-08-09"
817,7,"Hotel BD","Natal ","RN",2,"242.88","485.76","2020-08-20","2020-08-22"
819,7,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-09-03","2020-09-05"
823,8,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2019-10-03","2019-10-07"
826,8,"Hotel A","Florianopolis ","SC",3,"313.02","939.06","2019-10-24","2019-10-27"
827,8,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2019-10-31","2019-11-04"
830,8,"Hotel BD","Natal ","RN",4,"242.88","971.52","2019-11-21","2019-11-25"
834,8,"Hotel BP","Brasilia ","DF",2,"247.62","495.24","2019-12-19","2019-12-21"
836,8,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2020-01-02","2020-01-03"
838,8,"Hotel BD","Natal ","RN",1,"242.88","242.88","2020-01-16","2020-01-17"
840,8,"Hotel Z","Aracaju ","SE",1,"208.04","208.04","2020-01-30","2020-01-31"
852,8,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2020-04-23","2020-04-24"
857,8,"Hotel CB","Rio de Janeiro ","RJ",2,"165.99","331.98","2020-05-28","2020-05-30"
861,8,"Hotel CB","Rio de Janeiro ","RJ",2,"165.99","331.98","2020-06-25","2020-06-27"
862,8,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2020-07-02","2020-07-03"
864,8,"Hotel BP","Brasilia ","DF",2,"247.62","495.24","2020-07-16","2020-07-18"
865,8,"Hotel BW","Campo Grande ","MS",3,"60.39","181.17","2020-07-23","2020-07-26"
869,8,"Hotel BP","Brasilia ","DF",4,"247.62","990.48","2020-08-20","2020-08-24"
871,8,"Hotel BD","Natal ","RN",4,"242.88","971.52","2020-09-03","2020-09-07"
892,8,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2021-01-28","2021-01-30"
894,8,"Hotel BP","Brasilia ","DF",3,"247.62","742.86","2021-02-11","2021-02-14"
900,8,"Hotel BD","Natal ","RN",2,"242.88","485.76","2021-03-25","2021-03-27"
904,8,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2021-04-22","2021-04-26"
907,8,"Hotel AU","Recife ","PE",3,"312.83","938.49","2021-05-13","2021-05-16"
911,8,"Hotel BD","Natal ","RN",4,"242.88","971.52","2021-06-10","2021-06-14"
913,8,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2021-06-24","2021-06-25"
914,8,"Hotel BD","Natal ","RN",3,"242.88","728.64","2021-07-01","2021-07-04"
917,8,"Hotel BD","Natal ","RN",3,"242.88","728.64","2021-07-22","2021-07-25"
919,8,"Hotel BW","Campo Grande ","MS",4,"60.39","241.56","2021-08-05","2021-08-09"
920,8,"Hotel BD","Natal ","RN",4,"242.88","971.52","2021-08-12","2021-08-16"
922,8,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2021-08-26","2021-08-30"
923,8,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2021-09-02","2021-09-06"
925,8,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2021-09-16","2021-09-17"
928,8,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2021-10-07","2021-10-08"
932,8,"Hotel K","Salvador ","BH",2,"263.41","526.82","2021-11-04","2021-11-06"
935,8,"Hotel BD","Natal ","RN",3,"242.88","728.64","2021-11-25","2021-11-28"
938,8,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2021-12-16","2021-12-19"
942,8,"Hotel BW","Campo Grande ","MS",1,"60.39","60.39","2022-01-13","2022-01-14"
944,8,"Hotel AU","Recife ","PE",3,"312.83","938.49","2022-01-27","2022-01-30"
945,8,"Hotel BD","Natal ","RN",1,"242.88","242.88","2022-02-03","2022-02-04"
948,8,"Hotel BD","Natal ","RN",4,"242.88","971.52","2022-02-24","2022-02-28"
950,8,"Hotel AF","Sao Paulo ","SP",4,"139.1","556.4","2022-03-10","2022-03-14"
957,8,"Hotel Z","Aracaju ","SE",4,"208.04","832.16","2022-04-28","2022-05-02"
958,8,"Hotel BD","Natal ","RN",2,"242.88","485.76","2022-05-05","2022-05-07"
962,8,"Hotel AU","Recife ","PE",2,"312.83","625.66","2022-06-02","2022-06-04"
966,8,"Hotel Z","Aracaju ","SE",2,"208.04","416.08","2022-06-30","2022-07-02"
967,8,"Hotel CB","Rio de Janeiro ","RJ",3,"165.99","497.97","2022-07-07","2022-07-10"
969,8,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2022-07-21","2022-07-23"
970,8,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2022-07-28","2022-07-29"
972,8,"Hotel AU","Recife ","PE",3,"312.83","938.49","2022-08-11","2022-08-14"
974,8,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2022-08-25","2022-08-26"
977,8,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2022-09-15","2022-09-19"
984,8,"Hotel Z","Aracaju ","SE",4,"208.04","832.16","2022-11-03","2022-11-07"
987,8,"Hotel Z","Aracaju ","SE",1,"208.04","208.04","2022-11-24","2022-11-25"
988,8,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2022-12-01","2022-12-05"
997,9,"Hotel AF","Sao Paulo ","SP",4,"139.1","556.4","2019-09-26","2019-09-30"
998,9,"Hotel BD","Natal ","RN",2,"242.88","485.76","2019-10-03","2019-10-05"
999,9,"Hotel A","Florianopolis ","SC",3,"313.02","939.06","2019-10-10","2019-10-13"
1006,9,"Hotel AU","Recife ","PE",2,"312.83","625.66","2019-11-28","2019-11-30"
1007,9,"Hotel Z","Aracaju ","SE",2,"208.04","416.08","2019-12-05","2019-12-07"
